Basin_ID,BasinCons_InclNegat_Jan_m3,BasinCons_InclNegat_Feb_m3,BasinCons_InclNegat_Mar_m3,BasinCons_InclNegat_Apr_m3,BasinCons_InclNegat_May_m3,BasinCons_InclNegat_Jun_m3,BasinCons_InclNegat_Jul_m3,BasinCons_InclNegat_Aug_m3,BasinCons_InclNegat_Sep_m3,BasinCons_InclNegat_Oct_m3,BasinCons_InclNegat_Nov_m3,BasinCons_InclNegat_Dec_m3,BasinCons_Jan_m3,BasinCons_Feb_m3,BasinCons_Mar_m3,BasinCons_Apr_m3,BasinCons_May_m3,BasinCons_Jun_m3,BasinCons_Jul_m3,BasinCons_Aug_m3,BasinCons_Sep_m3,BasinCons_Oct_m3,BasinCons_Nov_m3,BasinCons_Dec_m3
39966,-19681.148867409676,-117502.7578118071,-410097.6742050797,-543763.5587443635,-595129.932671696,-193505.35918921232,3887370.5,9253583.791015625,5329844.0,0.0,0.0,0.0,-19681.148867409676,-117502.7578118071,-410097.6742050797,-543763.5587443635,-595129.932671696,-193505.35918921232,0.0,22564.791015625,0.0,0.0,0.0,0.0
39984,0.0,0.0,536221.5389956906,524517.7214026079,3051034.056803778,266979.09375,15209.4189453125,-79599.12772718817,0.0,0.0,0.0,0.0,0.0,0.0,536221.5389956906,524517.7214026079,3051034.056803778,266979.09375,15209.4189453125,-79599.12772718817,0.0,0.0,0.0,0.0
40036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40108,1558768.0301290005,17417.92905369401,0.0,1205791.6197537333,18934095.738623023,28229153.916024685,42759355.16220856,52943467.202162266,16002152.218782395,1789128.2732070535,13882022.215812504,2593416.500694275,1558768.0301290005,17417.92905369401,0.0,1205791.6197537333,18934095.738623023,28229153.916024685,42759355.16220856,52943467.202162266,16002152.218782395,1789128.2732070535,13882022.215812504,2593416.500694275
40109,-3454.1694246530533,0.0,0.0,-968.438302796334,-26193.912674743682,-45859.410162970424,-76441.77143454552,-113746.71999371052,-24189.557343695313,-2419.6986205186695,-18614.38922006637,-5174.859761124477,-3454.1694246530533,0.0,0.0,-968.438302796334,-26193.912674743682,-45859.410162970424,-76441.77143454552,-113746.71999371052,-24189.557343695313,-2419.6986205186695,-18614.38922006637,-5174.859761124477
40110,-193.18377026263624,0.0,0.0,-89.59275081683882,-2226.6165535235777,-3236.839775634464,-4760.40071814321,-8107.29722186923,-1297.6602331842296,-161.99318167066667,-1147.0356835313141,-278.3662336861016,-193.18377026263624,0.0,0.0,-89.59275081683882,-2226.6165535235777,-3236.839775634464,-4760.40071814321,-8107.29722186923,-1297.6602331842296,-161.99318167066667,-1147.0356835313141,-278.3662336861016
40111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40133,0.0,0.0,0.0,0.0,0.0,0.0,663256.0625,2200674.5,1251184.125,404524.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40158,0.0,-84.25611126981676,-3789.4695527045988,-16746.191668719985,-70600.63943404332,-214439.71283084527,-104597.64436085708,-168648.11194966733,-64159.847793785855,0.0,0.0,0.0,0.0,-84.25611126981676,-3789.4695527045988,-16746.191668719985,-70600.63943404332,-214439.71283084527,-104597.64436085708,-168648.11194966733,-64159.847793785855,0.0,0.0,0.0
40159,0.0,510.59248531027697,37614.635890950914,129555.13377070054,151114.48510856926,1051166.44470869,718628.7815492079,987025.5305860639,1091768.3221133351,444882.306915693,-301.4495177187491,0.0,0.0,510.59248531027697,37614.635890950914,129555.13377070054,151114.48510856926,1051166.44470869,718628.7815492079,987025.5305860639,1091768.3221133351,444882.306915693,-301.4495177187491,0.0
40160,0.0,0.0,0.0,0.0,0.0,-245276.39177031443,-241798.1626000367,-294080.2888006959,-299329.85109688155,-146651.1345545221,-479.89071775331104,0.0,0.0,0.0,0.0,0.0,0.0,-245276.39177031443,-241798.1626000367,-294080.2888006959,-299329.85109688155,-146651.1345545221,-479.89071775331104,0.0
40161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40167,0.0,0.0,76985.42642757297,1074109.4820459038,766685.3817839548,398626.3974402994,-1347946.4685156792,-2286234.10146749,-2987715.341022581,-924103.3032745644,-47231.96798384562,-9579.306797280908,0.0,0.0,76985.42642757297,1074109.4820459038,766685.3817839548,398626.3974402994,-1347946.4685156792,-2286234.10146749,-2987715.341022581,-924103.3032745644,-47231.96798384562,-9579.306797280908
40168,0.0,0.0,-1341.1971552037285,-14536.35161196976,-19777.36146459519,-157906.89254822303,-102864.34166643582,-107887.89375663362,-227470.63060121983,0.0,0.0,0.0,0.0,0.0,-1341.1971552037285,-14536.35161196976,-19777.36146459519,-157906.89254822303,-102864.34166643582,-107887.89375663362,-227470.63060121983,0.0,0.0,0.0
40169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40175,0.0,0.0,0.0,0.0,0.0,-28089.703395641176,-185830.52924066596,-127689.39089473989,-131564.85266165342,-38600.81803929224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28089.703395641176,-185830.52924066596,-127689.39089473989,-131564.85266165342,-38600.81803929224,0.0,0.0
40176,0.0,0.0,17720.841796875,4023.573486328125,1417.1419677734375,1328.7625732421875,1447.7069091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17720.841796875,4023.573486328125,1417.1419677734375,1328.7625732421875,1447.7069091796875,0.0,0.0,0.0,0.0,0.0
